Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_M,1,0,-1,249,0,0
Ind_1_F,0,1,-1,511,0,0
Ind_2_M,1,0,-1,542,0,0
Ind_3_M,1,0,-1,337,1,0
Ind_4_M,1,0,-1,464,0,0
Ind_5_M,1,0,-1,311,0,0
Ind_6_F,0,1,-1,302,1,0
Ind_7_M,1,0,-1,556,1,0
Ind_8_M,1,0,-1,621,0,0
Ind_9_M,1,0,-1,911,0,0
Ind_10_F,0,1,-1,428,1,0
Ind_11_M,1,0,-1,423,0,0
Ind_12_F,0,1,-1,400,1,0
Ind_13_M,1,0,-1,634,0,0
Ind_14_M,1,0,-1,387,1,0
Ind_15_F,0,1,-1,699,1,0
Ind_16_M,1,0,-1,468,1,0
Ind_17_F,0,1,-1,480,1,0
Ind_18_F,0,1,-1,528,0,0
Ind_19_M,1,0,-1,513,1,0
Ind_20_M,1,0,-1,641,1,0
Ind_21_M,1,0,-1,815,1,0
Ind_22_M,1,0,-1,0,0,0
Ind_23_F,0,1,-1,537,0,0
Ind_24_M,1,0,-1,673,0,0
Ind_25_F,0,1,-1,910,1,0
Ind_26_F,0,1,-1,633,1,0
Ind_27_M,1,0,-1,173,0,0
Ind_28_M,1,0,-1,122,0,0
Ind_29_F,0,1,-1,701,1,0
Ind_30_M,1,0,-1,411,1,0
Ind_31_F,0,1,-1,743,1,0
Ind_32_M,1,0,-1,488,0,0
Ind_33_M,1,0,-1,318,1,0
Ind_34_F,0,1,-1,294,0,0
Ind_35_F,0,1,-1,473,0,0
Ind_36_M,1,0,-1,616,0,0
Ind_37_M,1,0,-1,381,1,0
Ind_38_M,1,0,-1,241,1,0
Ind_39_M,1,0,-1,658,1,0
Ind_40_F,0,1,-1,463,0,0
Ind_41_F,0,1,-1,674,0,0
Ind_42_M,1,0,-1,808,1,0
Ind_43_M,1,0,-1,562,1,0
Ind_44_M,1,0,-1,410,0,0
