Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_F,0,1,-1,322,1,0
Ind_1_M,1,0,-1,470,0,0
Ind_2_M,1,0,-1,599,0,0
Ind_3_F,0,1,-1,527,0,0
Ind_4_F,0,1,-1,561,1,0
Ind_5_M,1,0,-1,458,1,0
Ind_6_M,1,0,-1,505,1,0
Ind_7_F,0,1,-1,532,0,0
Ind_8_M,1,0,-1,526,0,0
Ind_9_F,0,1,-1,669,1,0
Ind_10_F,0,1,-1,88,1,0
Ind_11_M,1,0,-1,439,1,0
Ind_12_F,0,1,-1,403,0,0
Ind_13_M,1,0,-1,548,1,0
Ind_14_M,1,0,-1,468,1,0
Ind_15_M,1,0,-1,591,1,0
Ind_16_M,1,0,-1,383,1,0
Ind_17_M,1,0,-1,843,0,0
Ind_18_M,1,0,-1,511,0,0
Ind_19_F,0,1,-1,350,0,0
Ind_20_F,0,1,-1,721,0,0
Ind_21_M,1,0,-1,634,1,0
Ind_22_M,1,0,-1,539,1,0
Ind_23_M,1,0,-1,860,1,0
Ind_24_F,0,1,-1,661,0,0
Ind_25_M,1,0,-1,632,0,0
Ind_26_M,1,0,-1,533,0,0
Ind_27_F,0,1,-1,317,1,0
Ind_28_M,1,0,-1,52,0,0
Ind_29_F,0,1,-1,801,0,0
Ind_30_M,1,0,-1,674,1,0
Ind_31_F,0,1,-1,374,0,0
Ind_32_F,0,1,-1,521,1,0
Ind_33_F,0,1,-1,672,1,0
Ind_34_M,1,0,-1,499,1,0
Ind_35_F,0,1,-1,568,0,0
Ind_36_M,1,0,-1,282,1,0
Ind_37_M,1,0,-1,467,1,0
Ind_38_F,0,1,-1,532,0,0
Ind_39_M,1,0,-1,530,0,0
Ind_40_F,0,1,-1,770,0,0
Ind_41_F,0,1,-1,764,1,0
Ind_42_F,0,1,-1,541,0,0
Ind_43_F,0,1,-1,689,1,0
Ind_44_M,1,0,1,370,0,0
Ind_45_M,1,0,-1,484,1,0
Ind_46_F,0,1,-1,448,0,0
Ind_47_F,0,1,-1,465,1,0
Ind_48_F,0,1,-1,657,1,0
Ind_49_M,1,0,-1,659,0,0
Ind_50_F,0,1,-1,555,1,0
Ind_51_F,0,1,-1,581,1,0
Ind_52_F,0,1,-1,568,0,0
Ind_53_F,0,1,-1,357,1,0
Ind_54_M,1,0,-1,523,0,0
Ind_55_F,0,1,-1,239,1,0
Ind_56_F,0,1,-1,525,1,0
Ind_57_M,1,0,-1,633,1,0
Ind_58_M,1,0,-1,365,0,0
Ind_59_F,0,1,-1,717,1,0
