"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R",0
"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA35F CL14230 (Cameron, Moore-Odom, SE Odom)","F","R",-0.0088
"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA36M CL14231 (Cameron, Moore-Odom, Garrison)","M","R",-0.0034
"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA37M CL14232 (Cameron, Moore-Odom, Black Bayou)","M","R",-0.0151
"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA38F CL14233 (Cameron, Moore-Odom, Transient)","F","R",-0.0144
"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA41M CL14236 (Cameron, Moore-Odom, Transient)","M","R",-0.0246
"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA42F CL14237 (Cameron, Moore-Odom, North Oil Field)","F","R",0.0113
"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA43F CL14238 (Cameron, Moore-Odom, Transient)","F","R",0.0717
"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA44F CL14239 (Cameron, Moore-Odom, Transient)","F","R",-0.0157
"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA46F CL14241 (Cameron, Moore-Odom, Transient)","F","R",-0.0059
"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA50M CL14245 (Cameron, Apache Corp, East Holly Beach)","M","R",0.019
"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA51M CL14246 (Cameron, Sabine NWR, Central Canal)","M","R",-7e-04
"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA52F CL14247 (Cameron, Apache Corp, West Holly Beach)","F","R",0.2451
"LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R","LA53F CL14248 (Cameron, Apache Corp, West Holly Beach)","F","R",0.0886
"LA35F CL14230 (Cameron, Moore-Odom, SE Odom)","F","R","LA34M CL14229 (Cameron, Moore-Odom, Transient)","M","R",-0.0088
"LA35F CL14230 (Cameron, Moore-Odom, SE Odom)","F","R","LA35F CL14230 (Cameron, Moore-Odom, SE Odom)","F","R",0
"LA35F CL14230 (Cameron, Moore-Odom, SE Odom)","F","R","LA36M CL14231 (Cameron, Moore-Odom, Garrison)","M","R",-0.011
"LA35F CL14230 (Cameron, Moore-Odom, SE Odom)","F","R","LA37M CL14232 (Cameron, Moore-Odom, Black Bayou)","M","R",-0.0134
"LA35F CL14230 (Cameron, Moore-Odom, SE Odom)","F","R","LA38F CL14233 (Cameron, Moore-Odom, Transient)","F","R",0.3598
"LA35F CL14230 (Cameron, Moore-Odom, SE Odom)","F","R","LA41M CL14236 (Cameron, Moore-Odom, Transient)","M","R",-0.0307
"LA35F CL14230 (Cameron, Moore-Odom, SE Odom)","F","R","LA42F CL14237 (Cameron, Moore-Odom, North Oil Field)","F","R",0.0718
