FloHyb_H158,M,FloHyb_26055848,F,0.210122
FloHyb_H158,M,FloHyb_26056533,M,0.449829
FloHyb_H158,M,FloHyb_48036067,F,0.184025
FloHyb_H158,M,FloHyb_48349076,F,0.097459
FloHyb_H158,M,FloHyb_51777322,M,0.148401
FloHyb_H158,M,FloHyb_52312895,F,0.002209
FloHyb_H158,M,FloHyb_52376100,F,0.178138
FloHyb_H158,M,FloHyb_52604553,F,0.221653
FloHyb_H158,M,FloHyb_52793336,F,0.421894
FloHyb_H158,M,FloHyb_52796799,F,0.083605
FloHyb_H158,M,FloHyb_54957272,M,0.041552
FloHyb_H158,M,FloHyb_54957555,F,0.240371
FloHyb_H158,M,FloHyb_72611626,F,0.152427
FloHyb_H158,M,FloHyb_B39,F,0.033782
FloHyb_H158,M,FloHyb_BR106,F,0.167577
FloHyb_H158,M,FloHyb_BR542,F,2.00E-06
FloHyb_H158,M,FloHyb_BR610,M,0.107346
FloHyb_H158,M,FloHyb_BR877,M,0.466377
FloHyb_H158,M,FloHyb_G8,F,0.246492
FloHyb_H158,M,FloHyb_H119,F,0.102541
FloHyb_H158,M,FloHyb_H149,M,0.150875
FloHyb_H158,M,FloHyb_H17,F,1.10E-05
FloHyb_H158,M,FloHyb_H192,F,0.124252
FloHyb_H158,M,FloHyb_H210,M,0.461703
FloHyb_H158,M,FloHyb_H27,F,1.10E-05
FloHyb_H158,M,FloHyb_H29,F,0
FloHyb_H158,M,FloHyb_H2,M,0.661474
FloHyb_H158,M,FloHyb_H5,F,0.438886
FloHyb_H158,M,FloHyb_I64,M,0.455383
FloHyb_H158,M,FloHyb_I8,F,0.082847
FloHyb_H158,M,FloHyb_I94,M,0.111496
FloHyb_H158,M,FloHyb_I96,M,1.50E-05
FloHyb_H158,M,FloHyb_Z11,F,0.191175
FloHyb_H158,M,FloHyb_Z12,F,0.193954
FloHyb_H158,M,FloHyb_Z13,M,0.181794
FloHyb_H158,M,FloHyb_Z14,F,0.050434
FloHyb_H158,M,FloHyb_Z15,F,2.40E-05
FloHyb_H158,M,FloHyb_Z18,M,0.510017
FloHyb_H158,M,FloHyb_Z19,F,0.231582
FloHyb_H158,M,FloHyb_Z1,M,0.233819
FloHyb_H158,M,FloHyb_Z20,F,0.118664
FloHyb_H158,M,FloHyb_Z21,F,0.375728
FloHyb_H158,M,FloHyb_Z2,M,0.452646
FloHyb_H158,M,FloHyb_Z3,M,0.070773
FloHyb_H158,M,FloHyb_Z4,M,0.158953
FloHyb_H158,M,FloHyb_Z5,F,0.142866
FloHyb_H158,M,FloHyb_Z6,M,1.40E-05
FloHyb_H158,M,FloHyb_Z7,F,0.289632
FloHyb_H158,M,FloHyb_Z8,F,0.199833
FloHyb_H158,M,FloHyb_Z9,F,0.222427
FloHyb_26055848,F,FloHyb_26056533,M,0.229931
FloHyb_26055848,F,FloHyb_48036067,F,0.118812
FloHyb_26055848,F,FloHyb_48349076,F,0.139509
FloHyb_26055848,F,FloHyb_51777322,M,0.230023
FloHyb_26055848,F,FloHyb_52312895,F,0.17574
FloHyb_26055848,F,FloHyb_52376100,F,0.153947
FloHyb_26055848,F,FloHyb_52604553,F,0.17556
FloHyb_26055848,F,FloHyb_52793336,F,0.190417
FloHyb_26055848,F,FloHyb_52796799,F,0.158903
FloHyb_26055848,F,FloHyb_54957272,M,0.09406
FloHyb_26055848,F,FloHyb_54957555,F,0.189386
FloHyb_26055848,F,FloHyb_72611626,F,0.175328
FloHyb_26055848,F,FloHyb_B39,F,0.088722
