Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_F,0,1,-1,634,1,0
Ind_1_F,0,1,-1,298,0,0
Ind_2_F,0,1,-1,556,1,0
Ind_3_M,1,0,-1,758,0,0
Ind_4_F,0,1,-1,362,1,0
Ind_5_F,0,1,-1,577,1,0
Ind_6_M,1,0,-1,181,1,0
Ind_7_F,0,1,-1,480,1,0
Ind_8_F,0,1,-1,588,0,0
Ind_9_F,0,1,-1,525,0,0
Ind_10_F,0,1,-1,435,0,0
Ind_11_M,1,0,-1,298,0,0
Ind_12_F,0,1,-1,289,0,0
Ind_13_M,1,0,-1,462,0,0
Ind_14_F,0,1,-1,722,1,0
Ind_15_F,0,1,-1,794,1,0
Ind_16_F,0,1,-1,488,0,0
Ind_17_M,1,0,-1,555,0,0
Ind_18_F,0,1,-1,305,0,0
Ind_19_F,0,1,-1,478,1,0
Ind_20_M,1,0,-1,785,1,0
Ind_21_F,0,1,-1,880,0,0
Ind_22_M,1,0,-1,469,0,0
Ind_23_F,0,1,-1,574,1,0
Ind_24_M,1,0,-1,731,1,0
Ind_25_F,0,1,-1,322,0,0
Ind_26_M,1,0,-1,711,0,0
Ind_27_M,1,0,-1,437,0,0
Ind_28_M,1,0,-1,692,1,0
Ind_29_F,0,1,-1,204,1,0
