Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_M,1,0,-1,336,1,0
Ind_1_F,0,1,-1,28,0,0
Ind_2_F,0,1,-1,251,1,0
Ind_3_M,1,0,-1,560,0,0
Ind_4_M,1,0,-1,56,0,0
Ind_5_M,1,0,-1,475,0,0
Ind_6_F,0,1,-1,503,0,0
Ind_7_F,0,1,-1,280,0,0
Ind_8_F,0,1,-1,392,0,0
Ind_9_M,1,0,-1,84,1,0
Ind_10_F,0,1,-1,672,0,0
Ind_11_F,0,1,-1,644,1,0
Ind_12_M,1,0,-1,168,1,0
Ind_13_M,1,0,-1,196,1,0
Ind_14_M,1,0,-1,616,0,0
Ind_15_F,0,1,-1,420,0,0
Ind_16_M,1,0,-1,140,0,0
Ind_17_F,0,1,-1,364,0,0
Ind_18_M,1,0,-1,308,0,0
Ind_19_F,0,1,-1,588,1,0
Ind_20_F,0,1,-1,700,0,0
Ind_21_M,1,0,-1,224,0,0
Ind_22_F,0,1,-1,112,0,0
Ind_23_F,0,1,-1,448,1,0
Ind_24_M,1,0,-1,532,0,0
