Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_M,1,0,-1,55,1,0
Ind_1_M,1,0,-1,44,1,0
Ind_2_M,1,0,-1,65,1,0
Ind_3_M,1,0,-1,22,1,0
Ind_4_M,1,0,-1,77,0,0
Ind_5_M,1,0,-1,34,1,0
Ind_6_M,1,0,-1,31,1,0
Ind_7_M,1,0,-1,37,0,0
Ind_8_M,1,0,-1,63,1,0
Ind_9_M,1,0,-1,72,0,0
Ind_10_M,1,0,-1,39,0,0
Ind_11_M,1,0,-1,46,0,0
Ind_12_F,0,1,-1,58,0,0
Ind_13_F,0,1,-1,0,0,0
Ind_14_F,0,1,-1,68,0,0
Ind_15_M,1,0,-1,43,0,0
Ind_16_F,0,1,-1,53,0,0
Ind_17_M,1,0,-1,57,1,0
Ind_18_M,1,0,-1,27,1,0
Ind_19_F,0,1,-1,48,1,0
Ind_20_M,1,0,-1,50,0,0
Ind_21_F,0,1,-1,100,0,0
Ind_22_M,1,0,-1,41,0,0
Ind_23_F,0,1,-1,60,1,0
Ind_24_F,0,1,-1,51,1,0
