Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_F,0,1,-1,783,0,0
Ind_1_M,1,0,1,276,0,0
Ind_2_M,1,0,-1,550,1,0
Ind_3_F,0,1,-1,510,1,0
Ind_4_F,0,1,-1,209,1,0
Ind_5_F,0,1,-1,588,1,0
Ind_6_F,0,1,-1,209,0,0
Ind_7_F,0,1,-1,568,1,0
Ind_8_M,1,0,-1,709,0,0
Ind_9_F,0,1,-1,515,1,0
Ind_10_F,0,1,-1,644,1,0
Ind_11_M,1,0,-1,410,0,0
Ind_12_F,0,1,-1,181,0,0
Ind_13_M,1,0,-1,297,1,0
Ind_14_F,0,1,-1,228,0,0
Ind_15_F,0,1,-1,169,0,0
Ind_16_F,0,1,-1,693,1,0
Ind_17_F,0,1,-1,790,0,0
Ind_18_F,0,1,-1,445,0,0
Ind_19_M,1,0,-1,462,1,0
Ind_20_M,1,0,-1,711,1,0
Ind_21_M,1,0,-1,547,0,0
Ind_22_F,0,1,-1,646,0,0
Ind_23_F,0,1,-1,411,1,0
Ind_24_F,0,1,-1,316,1,0
Ind_25_F,0,1,-1,582,0,0
Ind_26_F,0,1,-1,621,1,0
Ind_27_F,0,1,-1,255,1,0
Ind_28_M,1,0,-1,723,0,0
Ind_29_M,1,0,-1,506,1,0
Ind_30_M,1,0,-1,268,0,0
Ind_31_F,0,1,-1,656,1,0
Ind_32_M,1,0,-1,121,0,0
Ind_33_M,1,0,-1,466,0,0
Ind_34_F,0,1,-1,704,0,0
Ind_35_M,1,0,-1,507,1,0
Ind_36_F,0,1,-1,628,1,0
Ind_37_F,0,1,-1,483,1,0
Ind_38_F,0,1,-1,521,1,0
Ind_39_M,1,0,-1,330,0,0
