Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_M,1,0,-1,352,1,0
Ind_1_M,1,0,-1,374,1,0
Ind_2_M,1,0,-1,308,1,0
Ind_3_F,0,1,-1,154,1,0
Ind_4_M,1,0,-1,506,0,0
Ind_5_F,0,1,-1,550,0,0
Ind_6_F,0,1,-1,66,1,0
Ind_7_M,1,0,-1,22,1,0
Ind_8_F,0,1,-1,264,0,0
Ind_9_F,0,1,-1,44,1,0
Ind_10_M,1,0,-1,396,1,0
Ind_11_F,0,1,-1,440,0,0
Ind_12_F,0,1,-1,176,0,0
Ind_13_M,1,0,-1,418,0,0
Ind_14_F,0,1,-1,286,1,0
Ind_15_M,1,0,-1,220,1,0
Ind_16_F,0,1,-1,330,0,0
Ind_17_M,1,0,-1,110,1,0
Ind_18_F,0,1,-1,462,1,0
Ind_19_F,0,1,-1,88,0,0
Ind_20_M,1,0,-1,528,1,0
Ind_21_M,1,0,-1,198,1,0
Ind_22_F,0,1,-1,484,0,0
Ind_23_F,0,1,-1,132,1,0
Ind_24_F,0,1,-1,242,0,0
