Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_F,0,1,-1,303,0,0
Ind_1_M,1,0,-1,246,1,0
Ind_2_M,1,0,-1,360,1,0
Ind_3_F,0,1,-1,122,1,0
Ind_4_F,0,1,-1,428,0,0
Ind_5_F,0,1,-1,189,1,0
Ind_6_M,1,0,-1,173,0,0
Ind_7_F,0,1,-1,203,1,0
Ind_8_F,0,1,-1,347,0,0
Ind_9_M,1,0,-1,397,1,0
Ind_10_F,0,1,-1,215,0,0
Ind_11_F,0,1,-1,256,0,0
Ind_12_M,1,0,-1,323,1,0
Ind_13_F,0,1,-1,0,0,0
Ind_14_F,0,1,-1,377,1,0
Ind_15_M,1,0,-1,237,0,0
Ind_16_M,1,0,-1,293,0,0
Ind_17_F,0,1,-1,313,1,0
Ind_18_F,0,1,-1,152,1,0
Ind_19_F,0,1,-1,266,1,0
Ind_20_M,1,0,-1,275,0,0
Ind_21_F,0,1,-1,550,1,0
Ind_22_F,0,1,-1,226,0,0
Ind_23_F,0,1,-1,334,1,0
Ind_24_M,1,0,-1,284,0,0
