Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_M,1,0,-1,701,1,0
Ind_1_M,1,0,-1,537,0,0
Ind_2_M,1,0,-1,689,1,0
Ind_3_M,1,0,-1,624,1,0
Ind_4_M,1,0,-1,220,1,0
Ind_5_M,1,0,-1,270,1,0
Ind_6_M,1,0,-1,314,1,0
Ind_7_M,1,0,-1,416,0,0
Ind_8_M,1,0,-1,459,0,0
Ind_9_F,0,1,-1,232,0,0
Ind_10_M,1,0,-1,391,1,0
Ind_11_F,0,1,-1,478,1,0
Ind_12_M,1,0,-1,352,1,0
Ind_13_M,1,0,-1,306,1,0
Ind_14_F,0,1,-1,338,1,0
Ind_15_M,1,0,-1,613,1,0
Ind_16_F,0,1,-1,155,1,0
Ind_17_F,0,1,-1,104,1,0
Ind_18_M,1,0,-1,282,0,0
Ind_19_F,0,1,-1,693,1,0
Ind_20_F,0,1,-1,578,1,0
Ind_21_M,1,0,-1,340,0,0
Ind_22_F,0,1,-1,528,0,0
Ind_23_F,0,1,-1,324,0,0
Ind_24_M,1,0,-1,569,0,0
Ind_25_F,0,1,-1,124,0,0
Ind_26_F,0,1,-1,193,1,0
Ind_27_M,1,0,-1,684,1,0
Ind_28_F,0,1,-1,334,0,0
Ind_29_M,1,0,-1,662,1,0
Ind_30_M,1,0,-1,361,1,0
Ind_31_M,1,0,-1,294,0,0
Ind_32_M,1,0,-1,178,1,0
Ind_33_F,0,1,-1,789,0,0
Ind_34_F,0,1,-1,437,1,0
Ind_35_F,0,1,-1,194,0,0
Ind_36_F,0,1,-1,796,0,0
Ind_37_F,0,1,-1,245,1,0
Ind_38_F,0,1,-1,568,1,0
Ind_39_F,0,1,-1,422,1,0
Ind_40_F,0,1,-1,345,0,0
Ind_41_M,1,0,-1,700,1,0
Ind_42_F,0,1,-1,357,1,0
Ind_43_F,0,1,-1,645,0,0
Ind_44_M,1,0,-1,788,1,0
Ind_45_F,0,1,-1,466,1,0
Ind_46_F,0,1,-1,208,0,0
Ind_47_M,1,0,-1,237,1,0
Ind_48_M,1,0,-1,104,0,0
Ind_49_M,1,0,-1,209,0,0
